"_id"	"id"	"videoepisodes"	"videoimg"	"videolink"	"videoname"	"videotype"	"videoview"
"62dfb3c16f2000004b003db2"	"0"	"共24集"	"../img/哆啦A梦.jpg"	"http://127.0.0.1/哆啦A梦/Avideo1"	"哆啦A梦"	"动漫"	"34"
"62dfb4636f2000004b003db3"	"1"	"共24集"	"../img/妖精的尾巴.jpg"	"http://127.0.0.1/妖精的尾巴/Cvideo1"	"妖精的尾巴"	"动漫"	"3"
"62dfb5426f2000004b003db4"	"2"	"共24集"	"../img/航海王.jpg"	"http://127.0.0.1/航海王/Bvideo1"	"航海王"	"动漫"	"6"
"62dfb5446f2000004b003db5"	"3"	"共24集"	"../img/名侦探柯南.jpg"	"http://127.0.0.1/名侦探柯南/Dvideo1"	"名侦探柯南"	"动漫"	"10"
"62dfb5456f2000004b003db6"	"4"	"共24集"	"../img/火影忍者.jpg"	"http://127.0.0.1/火影忍者/Evideo1"	"火影忍者"	"动漫"	"5"
"62dfb5466f2000004b003db7"	"5"	"共24集"	"../img/爱情公寓.jpg"	"http://127.0.0.1/爱情公寓/Avideo1"	"爱情公寓"	"电视剧"	"11"
"62e0db8eeb5f000051002f73"	"7"	"共24集"	"../img/咒术回战.jpg"		"咒术回战"	"动漫"	"8"
"62e0dc2436487cac52ff261a"	"8"	"共24集"	"../img/间谍过家家.jpg"		"间谍过家家"	"动漫"	"30"
"62e0dc5e36487cac52ff261b"	"6"	"共24集"	"../img/鬼灭之刃.jpg"		"鬼灭之刃"	"动漫"	"7"
"62e0dcaa36487cac52ff261c"	"9"	"共24集"	"../img/斗罗大陆.jpg"		"斗罗大陆"	"动漫"	"20"
"62e0dcec7349631df7501c7b"	"10"	"共24集"	"../img/斗破苍穹.jpg"		"斗破苍穹"	"动漫"	"40"
"62e0f852e2dd2982caedd961"	"11"	"共1集"	"../img/天才基本法.jpg"		"天才基本法"	"电影"	"12"
"62e3acd997eb0c60e176c6e4"	"12"	"共24集"	"../img/你是我的荣耀.jpg"		"你是我的荣耀"	"电视剧"	"13"
"62e3ad5d97eb0c60e176c6e5"	"13"	"共24集"	"../img/梦华录.jpg"		"梦华录"	"电视剧"	"13"
